Year,mm
1951,4.56577
1952,5.13797
1953,5.00394
1954,4.68045
1955,4.78166
1956,5.81038
1957,3.92422
1958,4.31816
1959,5.77171
1960,4.34381
1961,4.34126
1962,5.79587
1963,4.49357
1964,4.77004
1965,4.5911
1966,4.0767
1967,4.60275
1968,5.37359
1969,4.60992
1970,5.53956
1971,6.29696
1972,4.02739
1973,5.33738
1974,5.68666
1975,4.6389
1976,4.56566
1977,5.8137
1978,5.44942
1979,4.01034
1980,5.05964
1981,5.15283
1982,3.73117
1983,5.2324
1984,6.24032
1985,4.83955
1986,5.24509
1987,5.38378
1988,5.61477
1989,5.09371
1990,5.80898
1991,5.37519
1992,4.24636
1993,5.48093
1994,4.11068
1995,6.13758
1996,4.96376
1997,5.10488
1998,5.99621
1999,6.25576
2000,5.22075
2001,4.86667
2002,5.22543
2003,5.18663
2004,5.23973
2005,5.05441
2006,4.73343
2007,5.66095
2008,5.03703
2009,4.48885
2010,4.22592
2011,4.32924
2012,3.70508
2013,5.20716
2014,4.31883
2015,5.17678